name,funding_amount,city,country,industry,funding_stage,description,investors,startup_age,team_background,traction_indicators,valuation,round_type,language,region_category,company_website,article_keywords,url,publish_date,founder_linkedin
Ferovinum,468000000.0,United Kingdom,UK,"FinTech, supply chain, drinks industry",asset-backed securitisation,Ferovinum provides capital and logistics support tailored to the specific challenges of the drinks industry.,Pollen Street Capital,2018,"Mitchel Fowler (Co-founder and CEO), Daniel Gibney (Co-founder and CFO)","USD 550 million asset-backed securitisation, international expansion to US, EU, and Australia",550000000,asset-backed securitisation,English,UK,,"FinTech, supply chain, drinks industry, asset-backed securitisation, working capital, logistics, international expansion",https://www.eu-startups.com/2025/06/london-based-ferovinum-bottles-e468-million-to-expand-global-funding-for-the-drinks-trade/,"June 30, 2025",
Natech Banking Solutions,28100000.0,Ioannina,Greece,"FinTech, Banking Technology, BaaS",Series B,A banking technology platform empowering financial institutions to compete and grow alongside established competitors.,Piraeus Financial Holdings,2003,"Thanasis Navrozoglou (CEO & Chairman), Dimitrios Navrozoglou (CFO & Vice Chairman), Mathias Schütz (Chief Revenue Officer & Deputy CEO)","100% customer retention rate, behind Snappi Bank, powers multiple financial institutions across Europe",,Series B,English,EU,,"FinTech, banking technology, BaaS, embedded finance, digital innovation, AI, composable banking",https://www.eu-startups.com/2025/06/greek-banking-technology-platform-natech-banking-solutions-secures-over-e28-1-million/,"June 30, 2025",
Tandem Health,42600000.0,Stockholm,Sweden,"HealthTech, AI",Series A,AI-powered documentation platform for clinicians to manage administrative tasks.,"Kinnevik, Northzone, Amino Collective, Visionaries Club",2023,Experienced doctors and psychologists,"Used by tens of thousands of healthcare professionals, partnership with Accurx providing access to 200,000 NHS staff",,Series A,English,EU,,"AI, healthcare, documentation, clinicians, Europe, administrative tasks, burnout, NHS, partnership",https://www.eu-startups.com/2025/06/swedish-startup-tandem-secures-e42-6-million-to-reduce-admin-burden-on-clinicians/,"June 30, 2025",
Tibo Energy,6000000.0,Eindhoven,Netherlands,"Energy Management System, AI, Decentralised Energy Grids",Seed,"Tibo Energy develops AI-driven software to simulate and control decentralised energy grids, helping businesses unlock additional energy capacity from their existing infrastructure.","KOMPAS VC, Hitachi Ventures, WEPA Ventures, SET Ventures, Speedinvest",2022,"Founders include Remco Eikhout, Jeroen Althusius, Josh Mengerink, Linda Zandt-Sloot, and Bram Cappers","Deployed EMS on more than 30 industrial sites, projects with Montea and Intratuin, partnerships with Unica, Hoppenbrouwers, and Stantec",,Seed,English,EU,,"Energy Management System, AI, decentralised energy grids, grid congestion, energy transition, industrial energy solutions",https://www.eu-startups.com/2025/06/dutch-startup-tibo-energy-raises-e6-million-to-scale-its-ai-driven-energy-management-platform/,"June 30, 2025",
Laverock Therapeutics,23300000.0,,British,"HealthTech, biotechnology, gene control, advanced therapies",Seed,Laverock Therapeutics is a gene control company focused on the development of disease-responsive advanced therapies.,"Calculus Capital, Eli Lilly and Company, Mercia Ventures, Eos Advisory, Maven Capital Partners, Norcliffe Capital",2021,"Experience in biotechnology, pharma, and academia","Platform development and validation, positive functional data for T-cell and Macrophage programmes, enhanced tumour control in cancer models",,Seed,English,UK,,"HealthTech, gene control, advanced therapies, Seed funding, biotechnology, oncology, genetic medicine",https://www.eu-startups.com/2025/06/london-based-startup-laverock-therapeutics-raises-over-e23-3-million-for-its-gene-control-tech/,"June 30, 2025",
Epigenica AB,1800000.0,Stockholm,Sweden,"life sciences, epigenetics, research, diagnostics, drug development",early-stage,"Epigenica is a life sciences technology company advancing high-throughput epigenetic solutions for research, diagnostics, and drug development.","Voima Ventures, Navigare Ventures, Leksell Social Ventures, Almi Invest",2020,science-based solutions,"product launches, commercial expansion, U.S. market expansion",,early-stage,English,EU,,"epigenetics, high-throughput, multi-omics, biomarker discovery, drug development, oncology, longevity",https://www.eu-startups.com/2025/06/swedish-healthtech-startup-epigenica-raises-e1-8-million-to-study-changes-in-gene-expression/,"June 30, 2025",
Skynopy,15000000.0,Paris,France,"NewSpace, satellite services, ground station services",Series A,"Skynopy provides ground station services for low Earth orbit satellites, enabling real-time satellite data downlink services.","Alven, Expansion, Omnes, CNES, Heartcore",1,Former executives at Loft Orbital,"Added more than 15 antennas to its network, strategic partnerships with AWS and Kinéis, finalising a significant global agreement with a major industry player",,Series A,English,EU,,"NewSpace, satellite, ground station, real-time data, fundraising, Alven, Loft Orbital, AWS, Kinéis",https://www.eu-startups.com/2025/06/french-spacetech-skynopy-raises-e15-million-to-build-satellite-ground-station-network/,"June 30, 2025",
Bonx,7300000.0,,France,"SaaS, ERP, manufacturing",Seed,"Bonx is a modern ERP platform purpose-built for manufacturing, combining no-code configuration, advanced AI capabilities, and rapid deployment to digitise operations in weeks.","9900 Capital, Kima Ventures, Purple, OSS Ventures, Dynamo Ventures",2022,Founded by Alexandre Barroux and Rémi Beges within OSS Ventures,"Used by French manufacturers, including suppliers to Décathlon and emerging brands like French Bloom; customers report full rollouts in six to twelve weeks with measurable improvements.",,Seed,English,EU,,"ERP, manufacturing, SaaS, Seed funding, AI, no-code, rapid deployment, Europe, France, Italy, Spain",https://www.eu-startups.com/2025/06/bonx-raises-e7-3-million-to-champion-european-manufacturing-with-market-leading-ai-erp/,"June 30, 2025",
Leaf,1700000.0,Danish,Denmark,InsurTech,Seed,An InsurTech startup automating insurance and pension advisory and broker services for businesses.,"Caesar Ventures, EIFO",2024,CEO and Co-founder Mads Gjerrild,"Helped more than 600 companies improve their insurance coverage, saved customers an estimated DKK 7–9 million annually in unnecessary insurance costs, helped arrange over 500 new, relevant policies",,Seed,English,EU,https://www.leaf.dk,"InsurTech, insurance, pension, SME, automation, risk management",https://www.eu-startups.com/2025/06/copenhagen-based-insurtech-startup-leaf-raises-e1-7-million-to-fix-broken-insurance-and-pension-solutions-for-danish-companies/,"June 27, 2025",
Waypoint AI,2700000.0,Prague,Czech Republic,"AI, Customer Support, Software",Pre-Seed,"Waypoint AI develops an AI Customer Support Engineer to triage, investigate, and resolve product defects for software organizations.","42Cap, Dreamcraft Ventures, Berkeley SkyDeck Fund, Lumiere AI Ventures",2024,"Tomas Polivka, Steve Boogar, Liam Boogar-Azoulay",Enterprise software companies including Kpler and Clickhouse have reportedly seen their mean time to resolution (MTTR) cut in half in a matter of weeks.,,Pre-Seed,English,EU,,"AI, customer support, software maintenance, escalation automation, large language models, LLMs, Escalation Intelligence Knowledge Graph, EIKG, mean time to resolution, MTTR",https://www.eu-startups.com/2025/06/czech-startup-waypoint-ai-raises-e2-7-million-to-deploy-ai-powered-support-engineer/,"June 27, 2025",
Flowstep,2200000.0,Tallinn,Estonia,"DesignTech, AI",Seed,Flowstep empowers teams to design at the speed of thought with an AI-native canvas for product design teams.,"Supernode Global, Adesso Ventures, Angel Invest, Dnipro VC, Iron Wolf Capital, Anton Borzov, Tera Ventures, Specialist VC, Thomas Wolf, Elias Aalto",2023,"Alumni from Bolt, Revolut, experienced former Founders","Coming out of beta, launching enterprise-grade platform features, expanding U.S. sales",,Seed,English,EU,,"AI-native canvas, product design, DesignTech, Seed round, enterprise-grade platform, U.S. sales, vibe design, LLMs, reinforcement learning, computer vision",https://www.eu-startups.com/2025/06/design-gets-the-vibe-treatment-as-estonian-startup-flowstep-secures-e2-2-million-to-boost-product-team-workflows/,"June 27, 2025",
Aquablu,7000000.0,Amsterdam,Netherlands,"hydration, workplace solutions, sustainability",Seed,"Aquablu provides smart, tech-enabled hydration dispensers for businesses, offering sustainable and health-focused solutions.","Frans van Houten, Bas Witvoet, Pieter Schoen, Michel Perridon",2018,"ex-Philips CEO, university entrepreneurs","300% year-over-year growth for three consecutive years, achieved profitability in 2025",,Seed,English,EU,,"hydration, sustainability, smart dispensers, workplace solutions, Seed funding",https://www.eu-startups.com/2025/06/dutch-hydration-startup-aquablu-closes-e7-million-round-live-on-podcast-to-expand-their-smart-water-dispenser/,"June 27, 2025",
Swave Photonics,6000000.0,Leuven,Belgium,"Augmented Reality, Holographic Display, Spatial Computing, AI",Series A follow-on,"Swave Photonics develops chipsets to deliver reality-first spatial computing powered by AI, using holographic display technology.","IAG Capital Partners, Samsung Ventures",2022,"Spun-out from Imec, CEO Mike Noonen, CFO Derek Jensen with experience in AR, smart devices, and semiconductors","Announced €27 million Series A funding in January 2025, €10 million Seed round in 2023, proprietary Holographic eXtended Reality (HXR) display technology",,Series A follow-on,English,EU,,"holographic display, AR, spatial computing, AI, CMOS chip technology, HXR, funding, investors",https://www.eu-startups.com/2025/06/belgian-swave-photonics-bags-an-additional-e6-million-for-their-ar-technology/,"June 27, 2025",
Antler Bio,3600000.0,Cambridge,UK,"AgriTech, dairy farming, gene expression technology",early-stage,"Antler Bio transforms dairy farming with its EpiHerd system, using gene expression data to help farmers identify and address hidden factors limiting their herd’s capabilities.","The First Thirty Ventures, Endgame Capital, Generation-RE",2020,"Maria Jensen (ex-entrepreneur in genetics for racehorses), Nathalie Conte (25+ years in cancer genetics and bioinformatics)","Partners with over 100 farms, milk yield increases of up to 22%, 6% rise in milk fat, 5% increase in milk protein, average ROI of more than 7:1",,,English,EU,,"AgriTech, dairy farming, gene expression, EpiHerd, livestock, animal welfare, milk yield, farm efficiency",https://www.eu-startups.com/2025/06/british-antler-bio-raises-e3-6-million-to-help-farmers-increase-milk-yield/,"June 26, 2025",
EarthScale,5800000.0,London,UK,ClimateTech,Series A,A UK-wide initiative supporting ClimateTech startups and spinouts to move from prototype to commercial success.,Research England Development Fund,,"Led by Imperial College London, includes top-tier universities like Cranfield University, University of Derby, University of Exeter, University of Leeds, University of Nottingham","Aims to support at least 60 climate-focused startups over three years, builds on the innovation legacies of partner institutions",,,English,UK,,"ClimateTech, startups, spinouts, commercial success, Imperial College London, Series A, innovation, scaling",https://www.eu-startups.com/2025/06/earthscale-launches-new-e5-8-million-push-to-boost-uk-climatetech-startups/,"June 26, 2025",
DRIMCO,4200000.0,Munich,Germany,"AI, industrial manufacturing, engineering",pre-Series A,"DRIMCO is an innovator in AI-based requirement analysis, transforming industrial operations through its product, DRIM – The Next Generation Requirements AI.","Ventech, BayernCapital",2020,"Dr Pankaj Gupta, Dr Bernt Andrassy, Costin Cozan (Managing Directors and Founders with deep industry expertise)","Processed more than 100 million requirements, partnerships with Siemens, KSB, Royal Smit, Innomotics",,pre-Series A,English,EU,,"AI, requirement analysis, industrial manufacturing, engineering, tenders, compliance, multi-AI agents",https://www.eu-startups.com/2025/06/german-startup-drimco-raises-e4-2-million-to-streamline-requirement-analysis-for-industrial-manufacturing-and-engineering-with-ai/,"June 26, 2025",
Cosma,2500000.0,Nice,France,"DeepTech, Marine Technology, Autonomous Vehicles",Industrialisation,Cosma specializes in mapping deep-sea ecosystems using autonomous vehicles to provide reliable biological data for marine projects.,"WIND, Ternel, 50 Partners, Caisse d’Épargne Côte d’Azur, IFREMER",2022,"Frédéric Mittaine (CEO), Romain Charraudeau (Director of Technology Transfer at IFREMER), Olivier Mougenot (General Partner at WIND), Timothée Poulain (Partner at Ternel)","Clients include RWE, EGIS, World Wildlife Fund (WWF), French Navy (Marine Nationale); technology supported by IFREMER",,Industrialisation,English,EU,,"DeepTech, marine, autonomous vehicles, biodiversity, ocean, AI, photogrammetry, digital twin, seabed mapping",https://www.eu-startups.com/2025/06/french-startup-cosma-raises-e2-5-million-for-underwater-imaging-technology-for-marine-biodiversity/,"June 30, 2025",
Groundley,970000.0,,Denmark,"FinTech, AI, Sustainability, Enterprise Software",Seed,"AI-powered platform that helps finance departments of large companies unlock granular insights into external spending, track emissions, and discover cost-saving opportunities across complex ERP systems.","EIFO (The Danish Export and Investment Fund), Christian Dideriksen",2023,"Ahmad Sabah, Jeppe Jørgensen, Mads Zeidler","Deployed by major firms, including one of Denmark’s largest shipping companies; clients can potentially achieve a 2% cost saving, a 0.5 FTE reduction in workload, and elimination of invoice-related accounting discrepancies.",4600000,Seed,English,EU,,"FinTech, AI, sustainability, ERP systems, carbon footprint, financial insight, enterprise software",https://www.eu-startups.com/2025/05/copenhagen-based-fintech-startup-groundley-secures-e970k-to-build-smarter-finance-engines-with-ai-magic/,"May 29, 2025",
